SCO_id,positions_joined,GeneID,Entry.x,Reviewed.x,Entry Name.x,Protein names.x,Gene_Names_Original.x,Length.x,Gene Names (synonym).x,Entry.y,Reviewed.y,Entry Name.y,Protein names.y,Gene_Names_Original.y,Length.y,Gene Names (synonym).y,KEGG_ID,GO_Terms,GO_Count,Metabolic_Pathways,Pathway_Count,Regulating_TFs,TF_Count,Is_TF,Regulates_Genes,Target_Count,Has_UniProt,Has_KEGG,Has_GO,Has_Pathway,Has_TF_Regulation,Annotation_Score,In_Carbon_Metabolism,In_Amino_Acid_Metabolism,In_Secondary_Metabolism,In_Actinorhodin,In_Prodigiosin,In_Calcium_Dependent_Antibiotic,In_Coelimycin_P1,In_Methylenomycin,In_Desferrioxamine,Functional_Class
SCO0148,LIB#2:E3; LIB#2:F3,SCO0148,Q9RIW6,unreviewed,Q9RIW6_STRCO,Transcriptional regulatory protein,SCO0148 SCJ33.12,81.0,,Q9RIW6,unreviewed,Q9RIW6_STRCO,Transcriptional regulatory protein,SCO0148 SCJ33.12,81.0,,sco:SCO0148,GO:0003677,1,,0,,0,True,"SCO0147,SCO7513,SCO7514",3,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0155,LIB#2:G3; LIB#2:H3,SCO0155,Q9RJ10,unreviewed,Q9RJ10_STRCO,Transcriptional regulatory protein,SCO0155 SCJ1.04,207.0,,Q9RJ10,unreviewed,Q9RJ10_STRCO,Transcriptional regulatory protein,SCO0155 SCJ1.04,207.0,,sco:SCO0155,GO:0003677,1,,0,"SCO0155,SCO2875,SCO4122,SCO5917,SCO7142,SCO7351",6,True,"SCO0154,SCO0155,SCO0329,SCO0330,SCO0970,SCO3981,SCO3982,SCO4270,SCO4271,SCO4454,SCO4480,SCO5237,SCO5238,SCO6075",14,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0159,LIB#2:A4; LIB#2:B4,SCO0159,Q9RJ06,unreviewed,Q9RJ06_STRCO,ECF sigma factor,SCO0159 SCJ1.08,322.0,,Q9RJ06,unreviewed,Q9RJ06_STRCO,ECF sigma factor,SCO0159 SCJ1.08,322.0,,sco:SCO0159,GO:0003700;GO:0006352;GO:0006355,3,,0,SCO4385,1,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0160,LIB#2:C4; LIB#2:D4,SCO0160,Q9RJ05,unreviewed,Q9RJ05_STRCO,Possible DNA-binding protein,SCO0160 SCJ1.09c,233.0,,Q9RJ05,unreviewed,Q9RJ05_STRCO,Possible DNA-binding protein,SCO0160 SCJ1.09c,233.0,,sco:SCO0160,,0,,0,SCO4167,1,False,,0,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0174,LIB#2:E4; LIB#2:F4,SCO0174,Q9RIZ1,unreviewed,Q9RIZ1_STRCO,DNA-binding protein,SCO0174 SCJ1.23c,323.0,,Q9RIZ1,unreviewed,Q9RIZ1_STRCO,DNA-binding protein,SCO0174 SCJ1.23c,323.0,,sco:SCO0174,,0,,0,,0,False,,0,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0193,LIB#1:A1; LIB#1:A2,SCO0193,Q9RI53,unreviewed,Q9RI53_STRCO,DNA-binding regulator,SCO0193 SCJ12.05c,334.0,,Q9RI53,unreviewed,Q9RI53_STRCO,DNA-binding regulator,SCO0193 SCJ12.05c,334.0,,sco:SCO0193,GO:0003677;GO:0006355,2,,0,"SCO0193,SCO2869,SCO7585",3,True,"SCO0193,SCO0194,SCO0229,SCO2706,SCO4059,SCO6772",6,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0194,LIB#2:G4; LIB#2:H4,SCO0194,Q9RI52,unreviewed,Q9RI52_STRCO,RNA polymerase sigma factor,SCO0194 SCJ12.06,202.0,,Q9RI52,unreviewed,Q9RI52_STRCO,RNA polymerase sigma factor,SCO0194 SCJ12.06,202.0,,sco:SCO0194,GO:0003700;GO:0006352;GO:0006355;GO:0003677;GO:0016987,5,,0,"SCO0193,SCO2869,SCO3144,SCO4167",4,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0204,LIB#1:A3; LIB#1:A4,SCO0204,Q9RI42,unreviewed,Q9RI42_STRCO,LuxR family two-component response regulator,SCO0204 SCJ12.16c,233.0,,Q9RI42,unreviewed,Q9RI42_STRCO,LuxR family two-component response regulator,SCO0204 SCJ12.16c,233.0,,sco:SCO0204,GO:0006355,1,Two-component system - Streptomyces coelicolor (path:sco02020),1,"SCO3144,SCO5803",2,False,,0,False,True,True,True,False,3,False,False,False,False,False,False,False,False,False,
SCO0225,LIB#2:A5; LIB#2:B5,SCO0225,Q9S1R6,unreviewed,Q9S1R6_STRCO,Uncharacterized protein,SCO0225 SCJ9A.04c,144.0,,Q9S1R6,unreviewed,Q9S1R6_STRCO,Uncharacterized protein,SCO0225 SCJ9A.04c,144.0,,sco:SCO0225,,0,,0,"SCO6299,SCO7639",2,False,,0,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0230,LIB#2:C5; LIB#2:D5,SCO0230,Q9S1R1,unreviewed,Q9S1R1_STRCO,TetR-family transcriptional regulator,SCO0230 SCJ9A.09,204.0,,Q9S1R1,unreviewed,Q9S1R1_STRCO,TetR-family transcriptional regulator,SCO0230 SCJ9A.09,204.0,,sco:SCO0230,GO:0003677,1,,0,"SCO0927,SCO7554",2,True,SCO0229,1,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0233,LIB#2:E5; LIB#2:F5,SCO0233,Q9S1Q8,unreviewed,Q9S1Q8_STRCO,DNA-binding protein,SCO0233 SCJ9A.12c,279.0,,Q9S1Q8,unreviewed,Q9S1Q8_STRCO,DNA-binding protein,SCO0233 SCJ9A.12c,279.0,,sco:SCO0233,GO:0003677,1,,0,"SCO1691,SCO7552",2,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0236,LIB#2:G5; LIB#2:H5,SCO0236,Q9S1Q5,unreviewed,Q9S1Q5_STRCO,DNA-binding protein,SCO0236 SCJ9A.15c,290.0,,Q9S1Q5,unreviewed,Q9S1Q5_STRCO,DNA-binding protein,SCO0236 SCJ9A.15c,290.0,,sco:SCO0236,GO:0003677,1,,0,SCO4118,1,True,"SCO3388,SCO4259,SCO4548,SCO4628,SCO5901,SCO7422",6,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0241,LIB#2:A6; LIB#2:B6,SCO0241,Q9S1Q0,unreviewed,Q9S1Q0_STRCO,Transcriptional regulator,SCO0241 SCJ9A.20,224.0,,Q9S1Q0,unreviewed,Q9S1Q0_STRCO,Transcriptional regulator,SCO0241 SCJ9A.20,224.0,,sco:SCO0241,GO:0003677,1,,0,"SCO0241,SCO0307",2,True,"SCO0241,SCO2293,SCO3012,SCO7563",4,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0250,LIB#2:C6; LIB#2:D6,SCO0250,Q9S1P1,unreviewed,Q9S1P1_STRCO,Transcriptional regulator,SCO0250 SCJ9A.29,221.0,,Q9S1P1,unreviewed,Q9S1P1_STRCO,Transcriptional regulator,SCO0250 SCJ9A.29,221.0,,sco:SCO0250,GO:0003677,1,,0,"SCO0250,SCO1712,SCO2143,SCO2987,SCO4313,SCO5942,SCO7539",7,True,"SCO0249,SCO0250,SCO4625,SCO5810,SCO7751",5,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0253,LIB#2:E6; LIB#2:F6,SCO0253,Q9S1N8,unreviewed,Q9S1N8_STRCO,TetR-family transcriptional regulator,SCO0253 SCJ9A.32,190.0,,Q9S1N8,unreviewed,Q9S1N8_STRCO,TetR-family transcriptional regulator,SCO0253 SCJ9A.32,190.0,,sco:SCO0253,GO:0003677,1,,0,"SCO0253,SCO0940,SCO5552,SCO7552",4,True,"SCO0252,SCO0253,SCO4808",3,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0255,LIB#2:G6; LIB#2:H6,SCO0255,Q8CK65,unreviewed,Q8CK65_STRCO,Sigma factor,SCO0255 SCF20.01c SCJ9A.34c,578.0,,Q8CK65,unreviewed,Q8CK65_STRCO,Sigma factor,SCO0255 SCF20.01c SCJ9A.34c,578.0,,sco:SCO0255,GO:0005524;GO:0008134;GO:0006355;GO:0043565,4,,0,"SCO2213,SCO2280,SCO3859,SCO4159",4,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0262,LIB#2:A7; LIB#2:B7,SCO0262,Q9RKA0,unreviewed,Q9RKA0_STRCO,LysR-family transcriptional regulator,SCO0262 SCF1.04,311.0,,Q9RKA0,unreviewed,Q9RKA0_STRCO,LysR-family transcriptional regulator,SCO0262 SCF1.04,311.0,,sco:SCO0262,GO:0003700;GO:0006355,2,,0,"SCO3201,SCO4167,SCO6003",3,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0264,LIB#2:C7; LIB#2:D7,SCO0264,Q9RK98,unreviewed,Q9RK98_STRCO,Transcriptional regulator,SCO0264 SCF1.06,150.0,,Q9RK98,unreviewed,Q9RK98_STRCO,Transcriptional regulator,SCO0264 SCF1.06,150.0,,sco:SCO0264,GO:0003700;GO:0006355,2,,0,"SCO0264,SCO0891,SCO0927,SCO7727,SCO7742",5,True,"SCO0263,SCO0264,SCO0314,SCO0498,SCO0529,SCO0530,SCO0961,SCO1566,SCO2292,SCO2331,SCO2332,SCO2553,SCO2554,SCO2792,SCO2966,SCO3296,SCO3297,SCO3468,SCO4034,SCO4035,SCO4184,SCO4219,SCO4277,SCO4290,SCO4291,SCO4319,SCO5173,SCO5259,SCO5260,SCO5262,SCO5265,SCO5266,SCO5533,SCO5534,SCO5809,SCO5834,SCO6004,SCO6092,SCO6239,SCO6265,SCO6811,SCO6812,SCO6883,SCO7170,SCO7489,SCO7490,SCO7726,SCO7727,SCO7728,SCO7729,SCO7741,SCO7742,SCO7780,SCO7811,SCO7812",55,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0266,LIB#2:E7; LIB#2:F7,SCO0266,Q9RK96,unreviewed,Q9RK96_STRCO,Transcriptional regulator,SCO0266 SCF1.08c,325.0,,Q9RK96,unreviewed,Q9RK96_STRCO,Transcriptional regulator,SCO0266 SCF1.08c,325.0,,sco:SCO0266,GO:0003700;GO:0043565;GO:0006355,3,,0,"SCO2792,SCO7142",2,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0275,LIB#2:G7; LIB#2:H7,SCO0275,Q9S2D8,unreviewed,Q9S2D8_STRCO,Transcriptional repressor protein,SCO0275 SCF85.03,385.0,,Q9S2D8,unreviewed,Q9S2D8_STRCO,Transcriptional repressor protein,SCO0275 SCF85.03,385.0,,sco:SCO0275,,0,,0,"SCO3201,SCO4167",2,True,SCO0271,1,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0282,LIB#2:A8; LIB#2:B8,SCO0282,Q9S2D1,unreviewed,Q9S2D1_STRCO,DeoR family transcriptional regulator,SCO0282 SCF85.10,254.0,,Q9S2D1,unreviewed,Q9S2D1_STRCO,DeoR family transcriptional regulator,SCO0282 SCF85.10,254.0,,sco:SCO0282,GO:0003700;GO:0006355,2,,0,,0,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0287,LIB#2:C8; LIB#2:D8,SCO0287,Q9S2C6,unreviewed,Q9S2C6_STRCO,Regulatory protein,SCO0287 SCF85.15,334.0,,Q9S2C6,unreviewed,Q9S2C6_STRCO,Regulatory protein,SCO0287 SCF85.15,334.0,,sco:SCO0287,GO:0003700;GO:0043565;GO:0006355,3,,0,"SCO0310,SCO5803,SCO7562",3,True,SCO0286,1,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0289,LIB#2:E8; LIB#2:F8,SCO0289,Q9S2C4,unreviewed,Q9S2C4_STRCO,Probable transcriptional regulator,SCO0289 SCF85.17c,342.0,,Q9S2C4,unreviewed,Q9S2C4_STRCO,Probable transcriptional regulator,SCO0289 SCF85.17c,342.0,,sco:SCO0289,GO:0003677;GO:0006355,2,,0,"SCO0289,SCO0307,SCO4385,SCO5803",4,True,"SCO0106,SCO0289,SCO0290,SCO0674,SCO0675,SCO0970,SCO2226,SCO2227,SCO2292,SCO4797,SCO5522,SCO5931,SCO7027,SCO7028",14,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0296,LIB#2:G8; LIB#2:H8,SCO0296,Q9RL21,unreviewed,Q9RL21_STRCO,Transcriptional regulator,SCO0296 SC5G9.05,193.0,,Q9RL21,unreviewed,Q9RL21_STRCO,Transcriptional regulator,SCO0296 SC5G9.05,193.0,,sco:SCO0296,GO:0003677,1,,0,"SCO0296,SCO1003,SCO4099",3,True,"SCO0295,SCO0296,SCO0645,SCO0646,SCO0952,SCO0953,SCO1002,SCO1003,SCO4098,SCO4099,SCO6238,SCO6239,SCO6382,SCO6609,SCO6610,SCO7258,SCO7259",17,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0298,LIB#2:A9; LIB#2:B9,SCO0298,Q9RL19,unreviewed,Q9RL19_STRCO,LysR-family transcriptional regulator,SCO0298 SC5G9.07c,287.0,,Q9RL19,unreviewed,Q9RL19_STRCO,LysR-family transcriptional regulator,SCO0298 SC5G9.07c,287.0,,sco:SCO0298,GO:0003700;GO:0006355,2,,0,"SCO0298,SCO0421,SCO0927,SCO1289,SCO4482",5,True,"SCO0298,SCO0299,SCO0971",3,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0302,LIB#2:C9; LIB#2:D9,SCO0302,Q9RL15,unreviewed,Q9RL15_STRCO,TetR-family transcriptional regulator,SCO0302 SC5G9.11c,197.0,,Q9RL15,unreviewed,Q9RL15_STRCO,TetR-family transcriptional regulator,SCO0302 SC5G9.11c,197.0,,sco:SCO0302,GO:0003677,1,,0,SCO0307,1,True,"SCO0085,SCO0300,SCO0301,SCO0336,SCO0581,SCO1135,SCO1356,SCO1357,SCO2599,SCO2653,SCO3366,SCO3367,SCO4015,SCO4531,SCO4535,SCO4807,SCO5016,SCO5024,SCO5181,SCO5322,SCO5508,SCO5945,SCO5946,SCO5954,SCO5996",25,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0307,LIB#2:E9; LIB#2:F9,SCO0307,Q9RL11,unreviewed,Q9RL11_STRCO,DNA-binding protein,SCO0307 SC5G9.16,295.0,,Q9RL11,unreviewed,Q9RL11_STRCO,DNA-binding protein,SCO0307 SC5G9.16,295.0,,sco:SCO0307,GO:0003677,1,,0,"SCO0307,SCO0610,SCO5082,SCO6675",4,True,"SCO0026,SCO0066,SCO0067,SCO0132,SCO0138,SCO0156,SCO0241,SCO0289,SCO0301,SCO0302,SCO0307,SCO0308,SCO0329,SCO0352,SCO0982,SCO1031,SCO1199,SCO1209,SCO1226,SCO1497,SCO1498,SCO1778,SCO1870,SCO1967,SCO2058,SCO2059,SCO2098,SCO2102,SCO2103,SCO2321,SCO2322,SCO2338,SCO2339,SCO2383,SCO2401,SCO2502,SCO2522,SCO2523,SCO2524,SCO2549,SCO2553,SCO2554,SCO2571,SCO2578,SCO2579,SCO2592,SCO2648,SCO2681,SCO2817,SCO2819,SCO2820,SCO2863,SCO2884,SCO2948,SCO2949,SCO3079,SCO3098,SCO3107,SCO3108,SCO3110,SCO3119,SCO3120,SCO3231,SCO3324,SCO3439,SCO3775,SCO3776,SCO3800,SCO3842,SCO3894,SCO4009,SCO4035,SCO4117,SCO4120,SCO4146,SCO4147,SCO4167,SCO4168,SCO4235,SCO4261,SCO4297,SCO4298,SCO4314,SCO4315,SCO4362,SCO4401,SCO4797,SCO4920,SCO4935,SCO5075,SCO5076,SCO5161,SCO5244,SCO5258,SCO5285,SCO5286,SCO5299,SCO5306,SCO5401,SCO5545,SCO5667,SCO5694,SCO5729,SCO5799,SCO5818,SCO5826,SCO5827,SCO6004,SCO6026,SCO6027,SCO6138,SCO6163,SCO6174,SCO6175,SCO6213,SCO6217,SCO6218,SCO6235,SCO6236,SCO6348,SCO6360,SCO6361,SCO6467,SCO6484,SCO6545,SCO6563,SCO6594,SCO6595,SCO6614,SCO6650,SCO6651,SCO6670,SCO6671,SCO6713,SCO6714,SCO6927,SCO7027,SCO7131,SCO7161,SCO7162,SCO7195,SCO7252,SCO7380,SCO7381,SCO7422,SCO7541,SCO7622",147,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0310,LIB#2:G9; LIB#2:H9,SCO0310,Q9RL08,unreviewed,Q9RL08_STRCO,TetR-family transcriptional regulator,SCO0310 SC5G9.19c,216.0,,Q9RL08,unreviewed,Q9RL08_STRCO,TetR-family transcriptional regulator,SCO0310 SC5G9.19c,216.0,,sco:SCO0310,GO:0003677,1,,0,"SCO0310,SCO6358",2,True,"SCO0287,SCO0309,SCO0310,SCO0311,SCO1871,SCO1872,SCO1934,SCO1978,SCO2615,SCO2686,SCO7134",11,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0316,LIB#2:A10; LIB#2:B10,SCO0316,Q9RL02,unreviewed,Q9RL02_STRCO,DNA-binding protein,SCO0316 SC5G9.25c,555.0,,Q9RL02,unreviewed,Q9RL02_STRCO,DNA-binding protein,SCO0316 SC5G9.25c,555.0,,sco:SCO0316,,0,,0,"SCO3201,SCO4167",2,False,,0,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0332,LIB#2:C10; LIB#2:D10,SCO0332,Q9RK47,unreviewed,Q9RK47_STRCO,Transcriptional regulator,SCO0332 SCF12.11,206.0,,Q9RK47,unreviewed,Q9RK47_STRCO,Transcriptional regulator,SCO0332 SCF12.11,206.0,,sco:SCO0332,GO:0003677,1,,0,,0,True,"SCO0086,SCO0329,SCO0330,SCO0868,SCO0869,SCO0959,SCO1237,SCO1238,SCO1797,SCO2770,SCO3060,SCO3350,SCO3385,SCO3500,SCO3501,SCO4541,SCO4932,SCO5159,SCO5212,SCO5213,SCO5384,SCO5509,SCO5587,SCO5676,SCO5810,SCO6814,SCO7253",27,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0337,LIB#2:E10; LIB#2:F10,SCO0337,Q9RK42,unreviewed,Q9RK42_STRCO,Transcriptional regulator,SCO0337 SCF12.16,188.0,,Q9RK42,unreviewed,Q9RK42_STRCO,Transcriptional regulator,SCO0337 SCF12.16,188.0,,sco:SCO0337,GO:0003677,1,,0,"SCO3201,SCO4167,SCO7140",3,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0344,LIB#2:G10; LIB#2:H10,SCO0344,Q9RJW6,unreviewed,Q9RJW6_STRCO,GntR family DNA-binding regulator,SCO0344 SCF41.03,414.0,,Q9RJW6,unreviewed,Q9RJW6_STRCO,GntR family DNA-binding regulator,SCO0344 SCF41.03,414.0,,sco:SCO0344,GO:0003700;GO:0006355,2,,0,"SCO0344,SCO6784",2,True,"SCO0279,SCO0343,SCO0344,SCO0492,SCO0693,SCO0694,SCO0747,SCO0748,SCO0762,SCO0812,SCO0822,SCO0823,SCO1335,SCO1568,SCO1633,SCO1818,SCO2027,SCO2183,SCO2869,SCO2870,SCO2990,SCO3098,SCO3099,SCO3177,SCO3215,SCO3217,SCO3229,SCO3456,SCO3508,SCO3633,SCO3905,SCO4005,SCO4006,SCO4018,SCO4019,SCO4060,SCO4061,SCO4296,SCO4567,SCO4767,SCO4857,SCO4858,SCO4874,SCO5207,SCO5208,SCO5477,SCO5639,SCO5716,SCO5975,SCO5976,SCO6005,SCO6020,SCO6321,SCO6738,SCO6739,SCO6789,SCO6790,SCO7167,SCO7170,SCO7471,SCO7739",61,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0345,LIB#2:A11; LIB#2:B11,SCO0345,Q9RJW5,unreviewed,Q9RJW5_STRCO,Probable IclR family regulator (Putative secreted protein),SCO0345 SCF41.04c,260.0,,Q9RJW5,unreviewed,Q9RJW5_STRCO,Probable IclR family regulator (Putative secreted protein),SCO0345 SCF41.04c,260.0,,sco:SCO0345,GO:0003677;GO:0006355,2,,0,"SCO0345,SCO1289,SCO2192,SCO7140",4,True,SCO0345,1,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
